ID,PredefinedType,Start Point X,Start Point Y,Start Direction,Start Radius Of Curvature,End Radius Of Curvature,Segment Length
1,CIRCULARARC,452460.8898,4539473.5430,0.198563718 ,249.538,249.538,22.902068
2,LINE,452482.7338,4539480.3960,0.096588301 ,0,0,7.935500
3,LINE,452490.4064,4539482.4220,0.096588301 ,0,0,68.296941
4,CLOTHOID,452556.4403,4539499.8580,0.096588301 ,0,-1000,40.000000
5,CIRCULARARC,452595.0453,4539510.3270,0.118810514 ,-1000,-1000,285.242348
6,CLOTHOID,452854.5258,4539626.4420,0.435746458 ,-1000,0,40.000000
7,LINE,452888.0554,4539648.2530,0.457968688 ,0,0,36.908858
8,CLOTHOID,452918.8596,4539668.5850,0.457968688 ,0,985,39.698871
9,CIRCULARARC,452952.1378,4539690.2300,0.435577894 ,985,985,107.491403
10,CLOTHOID,453045.9733,4539742.5540,0.314324199 ,985,0,39.698871
11,LINE,453081.8789,4539759.4870,0.291933405 ,0,0,139.921625
